# url=https://m.place.naver.com/restaurant/2016309840/review/visitor, place_name=고가담 위례본점
created,visited,visit_count,author_nickname,body,id,author_id,rating
25.11.11.화,25.11.8.토,1,초코2324,"정말 너무 맛있습니다!
칼집삼겹살 마니아인데 칼집목살까지 있다고해서 와봤어요
통항정살까지 잘 먹고갑니다!!
반찬야채 계란찜까지 너무잘나오네요
또올게요!",6913045a539b48a03037c8c5,1auUr,
25.11.18.화,25.11.18.화,1,럭키꼬알,직원분이 친절하시고 고기 넘맛있어요!! 소스도 다양하고 맛있어서 재방문 의사있습니다,691c567edb6005b08a57a106,2cD5OD,
25.10.31.금,25.10.31.금,3,칸스7,고기가  맛있네요.그래서   올때마다  사람들로 북적이네요.쌈채소와 소스가 다양합니다.사장님직원분들 모두  친절하시고 빠릿하십니다^^,690495fc67a2ee282f2593f2,143tv,
25.11.7.금,25.11.7.금,2,dod****,"지난 추석때 먹고 계속 생각나 오늘왔는데
역시 신선하고 맛있어요 ㅎㅎ",690d78cef58c0360c7d050df,3EiNj,
25.11.28.금,25.11.28.금,1,eun****,"너어어무 맛있어요^^ 서비스도 최고입니다!!!
위례 맛집 인정!!",6929774f3eb871b41ce4566a,3M2D6,
25.9.30.화,25.9.29.월,1,마이리틀포니,"오늘 부모님 결혼기념일이라 특별한 곳에서 저녁먹으려고 했는데, 여기 잘온것 같아요!! 고기도 직접구워주신다고 하시고 쌈도 종류별로 질 좋은 것 가져다주시네요. 보리쌈장도 신기하고 고기 완전 맛있습니다!☆ 부모님 두분도 모두 만족~ 특별한날을 더욱 특별하게 만들어주셔서 감사해요~ 또 올게요",68dbd83062ad122d13a80227,8B1DU,
25.9.16.화,25.9.7.일,1,dai****,"직원분들이 밝게 맞아주셔서 시작부터 기분이 좋았는데, 고기 맛까지…😳
첫 입 먹고 바로 ‘와..’ 소리 나왔네요
여태 먹어본 고기 중 Top이라 해도 될 정도예요!!!
아직은 오픈 초기라 평일엔 웨이팅 없이 들어갈 수 있었는데, 주말엔 이미 웨이팅이 있더라구요 한적하게 즐기고 싶으시면 평일 저녁에 가시는 걸 추천합니다👍
아 그리고, 매장 내부나 화장실에 손님들을 배려한 물품들 너무 좋아요!!💓💓 세심한 센스에 또 한 번 감동먹고 갑니당
 번창하셔서 2호점, 3호점도 꼭 내주세요!!",68c91d88c2dac121804976b0,2bHrRM,
25.10.13.월,25.10.13.월,1,smlove321081,동네에 새로생긴 고기집이라서 와봤어요 맛도좋고 사이드 음식들도 훌륭해요~~ 재방문하겠습니다!!,68ec7d669cec17eed8a7debb,23er4,
25.12.17.수,25.12.17.수,1,loo****,맛있다고 소문나서 남위례까지 와봤는데 진짜 맛있습니다 고기 두껍고 부드럽고 반찬 찌개 다 맛잇어요잘 먹었습니다👍,69429c9424a67a45df2a20f3,64iEp,
1.2.금,1.2.금,1,사비14,숙성고기집이 별로 없어서 와봤는데 맛있어요~특히 목살 육향 좋고 쫀득해요~다 구워주는 집이고 직원분들 모두 엄청 친절합니다,69579a99e198c28445f12534,2JfJK,
1.2.금,1.2.금,1,whd****,직원분들이 친절하고 고기도 맛있어요~,69579b45deae56bf06b371ee,1pGFi,
25.9.9.화,25.9.9.화,2,es322745,"삼겹살.항정살  여전히 맛있네요.전엔  먹느라 못 봤던 서비스존이 있네요.
고기 먹은후 마실꺼리랑 페브리즈.치실.가글까지 준비 된것을 보니 사장님 센스 짱입니다.",68c00044a57711ffff5b8995,1On3w,
25.12.9.화,25.12.9.화,1,swj****,"고기가 너무 맛있고 직접 구워주셔서 너무 편했어요!!!
다음에 또 방문할 거 같아요!!!",69380107849fae515edaebd9,b906i,
25.8.19.화,25.8.19.화,1,ehd****,"위례에 새로 개업한 고기집이 있어, 직장 동료분들과 회식겸 방문 했어요!
서일로 부근 회식 매니아로써,, 갔던 고깃집 중 여기가 3순위 안에 듭니다,,(사장님과 직원분들이 너무 친절하셨어요..)
동료들도 모두 만족하네요
반찬 차림도 너무 정갈하고, 다양하게도 나오는데 제일 좋았던 건 쌈인거 같아요*_*
아! 그리고 가시면 찌개는 꼭 드셔보세요.. 미쳤습니다
회식한다면 재방문 의사 1000%입니다!
(고기는 구워주시던데 그래서 좋은 것도 있어요 ㅎㅎ;)",68a4700dad5f81578fd11c9b,5zXIS,
25.10.19.일,25.10.18.토,1,bbuddung,"https://m.blog.naver.com/jinlihyeri/224045720806

쌈도 6종이나 나오고 무엇보다 삼겹살 목살 진짜 맛있어요!!! 목살이 퍽퍽하지도않고 사르르 녹아버림🖤",68f41edb6cdaf5ef98937dfc,dfmIx,
